"Código";"Tipo";"Propósito";"Grupo";"Produto";"Marca";"Unidade";"Código Barra";"Código NCM";"Código de registro na ANVISA";"Lista de Preço";"Comissão Padrão";"Controla Estoque";"Minimo";"Máximo";"Compra";"Fornecedor";"Custo";"Venda";"Estoque";"Validade";"Perfil Tributário";"Forma de arquisição";"Situação tributária";"Alíquota";"CSTICMS";"Origem da mercadoria";"CEST";"NVE";"Data de inclusão"
"832";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO PARCIAL DO CONDUTO AUDITIVO - (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"600,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:24:34"
"831";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO PARCIAL DO CONDUTO AUDITIVO - (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"500,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:10:53"
"830";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO PARCIAL DO CONDUTO AUDITIVO - (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"500,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:10:34"
"835";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO TOTAL DO CONDUTO AUDITIVO - (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"800,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:26:11"
"834";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO TOTAL DO CONDUTO AUDITIVO - (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"700,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:25:45"
"833";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS OTOLÓGICAS";"ABLAÇÃO TOTAL DO CONDUTO AUDITIVO - (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"700,00";"";"";"";"";"";"";"";"";"";"";"29/07/2024 11:25:19"
"317";"Produto";"Apenas consumo interno";"CENTRO CIRÚRGICO";"ABRE BOCA CÃES E GATOS";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"150,00";"0,00";"1";"";"";"";"";"";"";"";"";"";"25/04/2024 15:40:32"
"283";"Produto";"Venda e consumo interno";"ANTIPARASITÁRIOS";"ACATAK 1mL";"";"ML";"";"";"";"Sim";"";"Sim";"";"";"";"";"0,12";"0,17";"";"";"";"";"";"";"";"";"";"";"25/04/2024 11:38:59"
"230";"Produto";"Venda e consumo interno";"ANESTÉSICOS";"ACEPRAN 0,2% 0,1mL";"";"ML";"";"";"";"Sim";"";"Sim";"";"";"";"";"0,30";"0,42";"200";"2026-02-28";"";"";"";"";"";"";"";"";"25/04/2024 10:00:56"
"231";"Produto";"Venda e consumo interno";"ANESTÉSICOS";"ACEPRAN 1% 0,1mL";"";"ML";"";"";"";"Sim";"";"Sim";"2";"12";"";"";"0,33";"0,47";"196";"2025-10-31";"";"";"";"";"";"";"";"";"25/04/2024 10:02:10"
"569";"Produto";"Apenas consumo interno";"LABORATÓRIO";"ACIDO ACÉTICO GLACIAL";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"180,00";"0,00";"2";"2027-03-31";"";"";"";"";"";"";"";"";"29/04/2024 16:22:54"
"982";"Produto";"Apenas consumo interno";"LABORATÓRIO";"ÁCIDO SULFURICO P.A 1L";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"134,00";"0,00";"";"";"";"";"";"";"";"";"";"";"13/09/2024 13:35:02"
"1014";"Produto";"Venda e consumo interno";"ANESTÉSICOS";"ACIDO TRANEXAMICO 50mg/ml (TRANSAMIN)";"";"UN";"";"";"";"Sim";"";"Sim";"";"";"";"";"6,90";"10,00";"5";"2026-06-30";"";"";"";"";"";"";"";"";"08/11/2024 15:37:34"
"38";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ÁCIDO ÚRICO";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"20,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 15:33:26"
"472";"Produto";"Apenas consumo interno";"CENTRO CIRÚRGICO";"ACRILICO AUTOPOLIMERIZANTE PÓ 220g";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"60,00";"0,00";"2";"2029-09-30";"";"";"";"";"";"";"";"";"29/04/2024 11:54:46"
"473";"Produto";"Apenas consumo interno";"CENTRO CIRÚRGICO";"ACRILICO AUTOPOLIMERIZANTE PÓ 440g";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"140,00";"0,00";"1";"2030-04-30";"";"";"";"";"";"";"";"";"29/04/2024 11:55:24"
"474";"Produto";"Apenas consumo interno";"CENTRO CIRÚRGICO";"ACRILICO AUTOPOLIMERIZANTE SPEED 25g";"";"UN";"";"";"";"Não";"";"Sim";"1";"4";"";"";"35,00";"0,00";"1";"2029-11-30";"";"";"";"";"";"";"";"";"29/04/2024 11:56:05"
"201";"Produto";"Venda e consumo interno";"ANTIBIÓTICOS";"ACURA - CEFTOFUR 0,1mL";"";"ML";"";"";"";"Sim";"";"Sim";"114";"906";"";"";"0,16";"0,23";"";"";"";"";"";"";"";"";"";"";"24/04/2024 16:18:30"
"941";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ADAPTADOR P/ SORO";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"1,28";"0,00";"28";"2029-01-31";"";"";"";"";"";"";"";"";"14/08/2024 16:31:49"
"883";"Produto";"Venda e consumo interno";"DESCARTÁVEIS";"ADAPTADOR PRN";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"4,90";"6,86";"14";"2027-12-31";"";"";"";"";"";"";"";"";"30/07/2024 11:52:06"
"318";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ADAPTADOR VACCUTAINER";"";"UN";"";"";"";"Não";"";"Sim";"3";"18";"";"";"0,90";"0,00";"39";"";"";"";"";"";"";"";"";"";"25/04/2024 15:42:03"
"902";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS CARDIOLÓGICOS";"AFERIÇÃO DE PRESSÃO";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"70,00";"";"";"";"";"";"";"";"";"";"";"31/07/2024 09:17:16"
"1008";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AGAR MÉTODO PADRÃO (PCA) 500g";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"550,00";"0,00";"1";"2028-03-31";"";"";"";"";"";"";"";"";"05/11/2024 11:01:00"
"570";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AGAR S I M CAIXA C/ 10 TUBOS";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"514,00";"0,00";"";"";"";"";"";"";"";"";"";"";"29/04/2024 16:24:22"
"1029";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AGAR SABOREAUD C/ CLORAFENICOL 500g KASVI";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"430,00";"0,00";"1";"2028-07-31";"";"";"";"";"";"";"";"";"14/02/2025 09:04:19"
"994";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AGAR SIMONS CITRATO";"";"UN";"";"";"";"Não";"";"Sim";"1";"4";"";"";"383,00";"0,00";"";"";"";"";"";"";"";"";"";"";"09/10/2024 11:01:44"
"571";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AGAR T S I CAIXA C/ 10 TUBOS";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"524,00";"0,00";"";"";"";"";"";"";"";"";"";"";"29/04/2024 16:24:57"
"133";"Produto";"Venda e consumo interno";"MEDICAÇÃO";"AGEMOXI 2 ml";"";"un";"";"";"";"Sim";"";"Não";"";"";"";"";"";"12,00";"";"";"";"";"";"";"";"";"";"";"06/03/2024 15:12:18"
"309";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"ÁGUA OXIGENADA 10vol 1L";"";"UN";"";"";"";"Não";"";"Sim";"1";"6";"";"";"11,00";"0,00";"";"";"";"";"";"";"";"";"";"";"25/04/2024 15:31:23"
"881";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"AGUA SANITÁRIA";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"5,00";"0,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 11:48:31"
"319";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"AGULHA 13x45";"";"UN";"";"";"";"Não";"";"Sim";"1";"6";"";"";"0,13";"0,00";"565";"2025-12-31";"";"";"";"";"";"";"";"";"25/04/2024 15:42:56"
"320";"Produto";"Venda e consumo interno";"DESCARTÁVEIS";"AGULHA 25x7";"";"UN";"";"";"";"Sim";"";"Sim";"18";"144";"";"";"0,17";"0,24";"500";"2029-05-31";"";"";"";"";"";"";"";"";"25/04/2024 15:43:37"
"1028";"Produto";"Venda e consumo interno";"DESCARTÁVEIS";"AGULHA 25x8";"";"UN";"";"";"";"Sim";"";"Sim";"86";"686";"";"";"0,18";"0,26";"100";"2028-05-31";"";"";"";"";"";"";"";"";"14/02/2025 09:00:01"
"321";"Produto";"Venda e consumo interno";"DESCARTÁVEIS";"AGULHA 30x8";"";"UN";"";"";"";"Não";"";"Sim";"22";"176";"";"";"0,22";"0,31";"659";"2028-04-30";"";"";"";"";"";"";"";"";"25/04/2024 15:44:14"
"322";"Produto";"Venda e consumo interno";"DESCARTÁVEIS";"AGULHA 40x12";"";"UN";"";"";"";"Não";"";"Sim";"13";"102";"";"";"0,22";"0,31";"506";"2029-08-31";"";"";"";"";"";"";"";"";"25/04/2024 15:44:47"
"323";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"AGULHA 40x16";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"0,34";"0,00";"374";"2027-08-31";"";"";"";"";"";"";"";"";"25/04/2024 16:04:37"
"342";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"AGULHA DE QUINCKE";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"18,00";"0,00";"1";"2026-04-30";"";"";"";"";"";"";"";"";"29/04/2024 08:35:57"
"672";"Produto";"Venda e consumo interno";"CENTRO CIRÚRGICO";"AGULHA P/ SUTURA";"";"UN";"";"";"";"Sim";"";"Sim";"";"";"";"";"1,00";"1,50";"8";"";"";"";"";"";"";"";"";"";"24/07/2024 07:43:10"
"324";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"AGULHA VACCUTAINER 25x7";"";"UN";"";"";"";"Não";"";"Sim";"10";"80";"";"";"0,90";"0,00";"270";"2025-08-31";"";"";"";"";"";"";"";"";"25/04/2024 16:05:41"
"711";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ALBUMINA";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"18,00";"";"";"";"";"";"";"";"";"";"";"24/07/2024 11:46:43"
"572";"Produto";"Apenas consumo interno";"LABORATÓRIO";"ALBUMINA VETERINÁRIA";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"45,00";"0,00";"4";"2025-03-31";"";"";"";"";"";"";"";"";"29/04/2024 16:25:34"
"310";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"ÁLCOOL 70% 1L";"";"UN";"";"";"";"Não";"";"Sim";"10";"78";"";"";"9,00";"0,00";"17";"2026-04-30";"";"";"";"";"";"";"";"";"25/04/2024 15:32:32"
"311";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"ÁLCOOL 99,1% 1L";"";"UN";"";"";"";"Não";"";"Sim";"6";"42";"";"";"10,00";"0,00";"";"";"";"";"";"";"";"";"";"";"25/04/2024 15:33:19"
"312";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"ÁLCOOL IODADO 1L";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"30,00";"0,00";"";"";"";"";"";"";"";"";"";"";"25/04/2024 15:34:42"
"1023";"Produto";"Apenas consumo interno";"LABORATÓRIO";"ÁLCOOL ISOAMILICO D=0,815";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"65,00";"0,00";"1";"2030-05-31";"";"";"";"";"";"";"";"";"04/02/2025 10:35:53"
"682";"Produto";"Apenas consumo interno";"ANTISSÉPTICOS";"ÁLCOOL SWAB";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"0,45";"0,00";"200";"2026-03-31";"";"";"";"";"";"";"";"";"24/07/2024 08:11:35"
"667";"Produto";"Apenas consumo interno";"OUTROS";"ALFINETE ETMOLOGICO CABEÇA COLORIDA";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"3,00";"0,00";"";"";"";"";"";"";"";"";"";"";"23/07/2024 16:00:11"
"325";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALGODÃO HIDRÓFILO";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"12,00";"0,00";"6";"2027-06-30";"";"";"";"";"";"";"";"";"29/04/2024 08:19:20"
"326";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALGODÃO ORTÓPEDICO 08cm";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"0,90";"0,00";"48";"2026-06-30";"";"";"";"";"";"";"";"";"29/04/2024 08:20:18"
"327";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALGODÃO ORTÓPEDICO 10cm";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"1,00";"0,00";"120";"2027-01-31";"";"";"";"";"";"";"";"";"29/04/2024 08:21:04"
"328";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALGODÃO ORTÓPEDICO 12cm";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"1,30";"0,00";"132";"2026-09-30";"";"";"";"";"";"";"";"";"29/04/2024 08:22:02"
"329";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALGODÃO ORTÓPEDICO 15cm";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"1,35";"0,00";"";"";"";"";"";"";"";"";"";"";"29/04/2024 08:23:13"
"330";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALMOTOLIA 250mL BRANCA";"";"UN";"";"";"";"Não";"";"Sim";"1";"4";"";"";"4,50";"0,00";"17";"";"";"";"";"";"";"";"";"";"29/04/2024 08:25:38"
"331";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALMOTOLIA 500mL BRANCA";"";"UN";"";"";"";"Não";"";"Sim";"1";"6";"";"";"6,50";"0,00";"6";"";"";"";"";"";"";"";"";"";"29/04/2024 08:26:35"
"332";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ALMOTOLIA 500mL MARROM";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"6,50";"0,00";"20";"";"";"";"";"";"";"";"";"";"29/04/2024 08:27:10"
"60";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ALT (T G P)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"18,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 15:47:06"
"674";"Produto";"Apenas consumo interno";"LABORATÓRIO";"ALT/TGP LIQUIFORM";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"160,00";"0,00";"2";"2025-11-30";"";"";"";"";"";"";"";"";"24/07/2024 07:53:40"
"40";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"AMILASE";"";"un";"";"";"";"Sim";"";"Não";"";"";"";"";"";"25,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 15:34:55"
"998";"Produto";"Apenas consumo interno";"LABORATÓRIO";"AMILASE CINETICA";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"290,00";"0,00";"1";"2025-07-31";"";"";"";"";"";"";"";"";"09/10/2024 11:13:10"
"202";"Produto";"Venda e consumo interno";"ANTIBIÓTICOS";"AMOXILINA - AMOX/AGEMOXI 0,1mL";"";"ML";"";"";"";"Sim";"";"Sim";"18";"144";"";"";"0,0720";"0,11";"899";"2025-11-30";"";"";"";"";"";"";"";"";"24/04/2024 16:19:23"
"204";"Produto";"Venda e consumo interno";"ANTIBIÓTICOS";"AMPICILINA";"";"UN";"";"";"";"Sim";"";"Sim";"";"";"";"";"0,13";"1,00";"";"";"";"";"";"";"";"";"";"";"24/04/2024 16:21:09"
"166";"Produto";"Venda e consumo interno";"Farmácia";"AMPOLA DE GLICOSE";"";"UB";"";"";"";"Sim";"";"Não";"";"";"";"";"";"10,00";"";"";"";"";"";"";"";"";"";"";"01/04/2024 10:16:00"
"868";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"AMPUTAÇÃO DA AMPOLA RETAL (EXÉRESE DEPROLAPSO) - (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"700,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:17:47"
"867";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"AMPUTAÇÃO DA AMPOLA RETAL (EXÉRESE DEPROLAPSO) - (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"600,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:17:23"
"866";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"AMPUTAÇÃO DA AMPOLA RETAL (EXÉRESE DEPROLAPSO) - (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"500,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:17:02"
"159";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DA CABEÇA DO FÊMUR (PORTE GRANDE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"1.100,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:48:23"
"158";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DA CABEÇA DO FÊMUR (PORTE MÉDIO)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"1.000,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:47:29"
"157";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DA CABEÇA DO FÊMUR (PORTE PEQUENO)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"900,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:34:52"
"770";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE DÍGITO (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"450,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 11:21:07"
"769";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE DÍGITO (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"375,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 11:20:49"
"768";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE DÍGITO (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"300,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 11:20:19"
"161";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE ERGOT (30 A 60 DIAS DE VIDA)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"480,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:52:57"
"162";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE ERGOT (APÓS 60 DIAS DE VIDA)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"510,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:53:34"
"160";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE ERGOT (ATÉ 30 DIAS DE VIDA)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"350,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:49:17"
"762";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE MEMBRO (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"1.100,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 10:47:55"
"761";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE MEMBRO (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"900,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 10:47:17"
"153";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA ÓSSEO E ARTICULAR";"AMPUTAÇÃO DE MEMBRO (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"700,00";"";"";"";"";"";"";"";"";"";"";"27/03/2024 15:26:50"
"64";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ANÁLISE DE LÍQUIDO CAVITÁRIO - PERITONEAL";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"100,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 15:54:49"
"67";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ANÁLISE DE LÍQUIDO CAVITÁRIO - PLEURAL";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"100,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 16:00:21"
"66";"Serviço";"Venda e consumo interno";"LABORATÓRIO DE ANÁLISES CLÍNICAS - EXAMES";"ANÁLISE DE LÍQUIDO CAVITÁRIO - SINOVIAL";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"100,00";"";"";"";"";"";"";"";"";"";"";"30/01/2024 15:56:20"
